Kenpom.com,Team,Mascot,Conference,Team First season (Div I)
Abilene Christian,Abilene Christian,Wildcats,Southland Conference,2013–14
Air Force,Air Force,Falcons,Mountain West Conference,2012–13
Akron,Akron,Zips,Mid-American Conference,2004–05
Alabama,Alabama,Crimson Tide,Southeastern Conference,2015–16
Alabama A&M,Alabama A&M,Bulldogs,Southwestern Athletic Conference,2011–12
Alabama St.,Alabama State,Hornets,Southwestern Athletic Conference,2005–06
Albany,Albany,Great Danes,America East Conference,2002–03
Alcorn St.,Alcorn State,Braves,Southwestern Athletic Conference,2015–16
American,American,Eagles,Patriot League,2013–14
Appalachian St.,Appalachian State,Mountaineers,Sun Belt Conference,2014–15
Arizona,Arizona,Wildcats,Pac-12 Conference,2009–10
Arizona St.,Arizona State,Sun Devils,Pac-12 Conference,2015–16
Arkansas,Arkansas,Razorbacks,Southeastern Conference,2011–12[a]
Arkansas Pine Bluff,Arkansas–Pine Bluff,Golden Lions,Southwestern Athletic Conference,2008–09
Arkansas St.,Arkansas State,Red Wolves,Sun Belt Conference,2016–17
Army,Army,Black Knights,Patriot League,2016–17
Auburn,Auburn,Tigers,Southeastern Conference,2014–15
Austin Peay,Austin Peay,Governors,Ohio Valley Conference,1986–87
Ball St.,Ball State,Cardinals,Mid-American Conference,2013–14
Baylor,Baylor,Bears,Big 12 Conference,2003–04
Belmont,Belmont,Bruins,Ohio Valley Conference,1996–97
Bethune Cookman,Bethune-Cookman,Wildcats,Mid-Eastern Athletic Conference,2011–12
Binghamton,Binghamton,Bearcats,America East Conference,2012–13
Boise St.,Boise State,Broncos,Mountain West Conference,2010–11
Boston College,Boston College,Eagles,Atlantic Coast Conference,2014–15
Boston University,Boston University,Terriers,Patriot League,2011–12
Bowling Green,Bowling Green,Falcons,Mid-American Conference,2015–16
Bradley,Bradley,Braves,Missouri Valley Conference,2015–16
Brown,Brown,Bears,Ivy League,2012–13
Bryant,Bryant,Bulldogs,Northeast Conference,2008–09
Bucknell,Bucknell,Bison,Patriot League,2015–16
Buffalo,Buffalo,Bulls,Mid-American Conference,2015–16
Butler,Butler,Bulldogs,Big East Conference,2014–15
BYU,BYU,Cougars,West Coast Conference,2005–06
Cal Poly,Cal Poly,Mustangs,Big West Conference,2009–10
Cal St. Bakersfield,Cal State Bakersfield,Roadrunners,Western Athletic Conference,2011–12
Cal St. Fullerton,Cal State Fullerton,Titans,Big West Conference,2013–14
Cal St. Northridge,Cal State Northridge,Matadors,Big West Conference,2013–14
California,California,Golden Bears,Pac-12 Conference,2014–15
Campbell,Campbell,Fighting Camels,Big South Conference,2013–14
Canisius,Canisius,Golden Griffins,Metro Atlantic Athletic Conference,2016–17
Central Arkansas,Central Arkansas,Bears,Southland Conference,2014–15
Central Connecticut,Central Connecticut,Blue Devils,Northeast Conference,2016–17
Central Michigan,Central Michigan,Chippewas,Mid-American Conference,2012–13
College of Charleston,Charleston,Cougars,Colonial Athletic Association,2014–15
Charleston Southern,Charleston Southern,Buccaneers,Big South Conference,2005–06
Charlotte,Charlotte,49ers,Conference USA,2015–16
Chattanooga,Chattanooga,Mocs,Southern Conference,2015–16
Chicago St.,Chicago State,Cougars,Western Athletic Conference,2010–11
Cincinnati,Cincinnati,Bearcats,American Athletic Conference,2006–07
The Citadel,The Citadel,Bulldogs,Southern Conference,2015–16
Clemson,Clemson,Tigers,Atlantic Coast Conference,2010–11
Cleveland St.,Cleveland State,Vikings,Horizon League,2006–07
Coastal Carolina,Coastal Carolina,Chanticleers,Sun Belt Conference,2007–08
Colgate,Colgate,Raiders,Patriot League,2011–12
Colorado,Colorado,Buffaloes,Pac-12 Conference,2010–11
Colorado St.,Colorado State,Rams,Mountain West Conference,2012–13
Columbia,Columbia,Lions,Ivy League,2016–17
Connecticut,Connecticut,Huskies,American Athletic Conference,2012–13
Coppin St.,Coppin State,Eagles,Mid-Eastern Athletic Conference,2014–15
Cornell,Cornell,Big Red,Ivy League,2016–17
Creighton,Creighton,Bluejays,Big East Conference,2010–11
Dartmouth,Dartmouth,Big Green,Ivy League,2016–17
Davidson,Davidson,Wildcats,Atlantic 10 Conference,1989–90
Dayton,Dayton,Flyers,Atlantic 10 Conference,2011–12
Delaware,Delaware,Fightin' Blue Hens,Colonial Athletic Association,2016–17
Delaware St.,Delaware State,Hornets,Mid-Eastern Athletic Conference,2013–14
Denver,Denver,Pioneers,Summit League,2016–17
Detroit,Detroit,Titans,Horizon League,2016–17
DePaul,DePaul,Blue Demons,Big East Conference,2015–16
